@RELATION student_feedback

@ATTRIBUTE Student_Name STRING
@ATTRIBUTE Roll_No STRING
@ATTRIBUTE Department {CSE,ECE,EEE,MECH,CIVIL,IT}
@ATTRIBUTE Section {A,B,C}
@ATTRIBUTE Q1_Teaching NUMERIC
@ATTRIBUTE Q2_Content NUMERIC
@ATTRIBUTE Q3_Interaction NUMERIC
@ATTRIBUTE Q4_Resources NUMERIC
@ATTRIBUTE Q5_Overall NUMERIC

@DATA
Nikhil Sharma,R1353,IT,B,1.0,4.0,1.0,2.0,2.0
Divya Sharma,R1354,ECE,C,5.0,5.0,4.0,3.0,4.0
Arjun Sharma,R1355,ECE,C,?,3.0,2.0,3.0,2.0
Diya Reddy,R1356,?,B,2.0,1.0,4.0,2.0,4.0
Diya Reddy,R1357,CSE,B,3.0,4.0,3.0,3.0,2.0
Pavani Kumar,R1358,CSE,C,1.0,2.0,3.0,2.0,1.0
Divya Rao,R1359,CIVIL,C,4.0,5.0,2.0,2.0,2.0
Sai Naidu,R1360,CSE,B,2.0,4.0,3.0,4.0,2.0
Kavya Naidu,R1361,ECE,C,5.0,4.0,5.0,3.0,3.0
Nikhil Naidu,?,CSE,C,3.0,5.0,1.0,4.0,5.0
Kavya Sharma,R1363,MECH,B,5.0,5.0,1.0,3.0,1.0
Ananya Naidu,R1364,IT,C,1.0,1.0,1.0,2.0,2.0
Sai Reddy,R1365,MECH,C,4.0,1.0,1.0,2.0,3.0
Pooja Rao,R1366,CIVIL,C,5.0,2.0,5.0,5.0,4.0
Rahul Sharma,R1367,CSE,B,1.0,3.0,2.0,2.0,3.0
Arjun Reddy,R1368,CIVIL,C,2.0,4.0,2.0,1.0,4.0
Meera Sharma,R1369,ECE,B,4.0,4.0,4.0,1.0,1.0
Divya Naidu,R1370,IT,C,4.0,3.0,2.0,5.0,4.0
Meera Naidu,R1371,ECE,B,5.0,3.0,4.0,1.0,1.0
Aarav Sharma,R1372,CSE,C,5.0,2.0,2.0,5.0,3.0
Arjun Rao,R1373,CSE,C,2.0,5.0,5.0,5.0,2.0
Ananya Reddy,R1374,MECH,A,5.0,1.0,2.0,2.0,2.0
Ananya Naidu,R1375,MECH,C,1.0,1.0,2.0,1.0,2.0
Harsha Reddy,R1376,CIVIL,C,5.0,4.0,2.0,2.0,3.0
Sai Rao,R1377,CIVIL,B,2.0,1.0,1.0,2.0,2.0
Arjun Naidu,R1378,MECH,B,1.0,3.0,2.0,1.0,2.0
Aditya Kumar,R1379,CIVIL,A,5.0,1.0,2.0,1.0,4.0
Aarav Reddy,R1380,ECE,B,5.0,1.0,5.0,2.0,4.0
Harsha Sharma,R1381,EEE,B,1.0,2.0,2.0,3.0,4.0
Isha Rao,R1382,ECE,B,5.0,2.0,3.0,3.0,3.0
Harsha Rao,R1383,CSE,C,4.0,1.0,5.0,5.0,2.0
Divya Naidu,R1384,EEE,B,4.0,3.0,3.0,5.0,3.0
Sneha Naidu,R1385,EEE,A,4.0,4.0,3.0,1.0,3.0
Keerthi Naidu,R1386,CIVIL,A,?,4.0,4.0,1.0,2.0
Kavya Kumar,R1387,MECH,C,4.0,1.0,5.0,1.0,1.0
Divya Rao,R1388,MECH,A,3.0,4.0,2.0,5.0,2.0
Kavya Sharma,R1389,MECH,A,3.0,4.0,5.0,2.0,4.0
Diya Naidu,R1390,EEE,?,4.0,5.0,3.0,2.0,1.0
Arjun Reddy,R1391,ECE,A,4.0,4.0,2.0,5.0,2.0
Diya Sharma,R1392,CIVIL,C,1.0,2.0,2.0,3.0,5.0
Ananya Reddy,R1393,CIVIL,C,?,3.0,3.0,4.0,4.0
Pavani Rao,?,CSE,A,3.0,4.0,2.0,4.0,2.0
Sneha Sharma,R1395,MECH,B,2.0,3.0,2.0,2.0,4.0
Meera Kumar,R1396,CIVIL,?,2.0,1.0,2.0,4.0,2.0
Aarav Kumar,R1397,EEE,A,1.0,3.0,3.0,4.0,2.0
Nikhil Sharma,R1398,IT,A,2.0,4.0,4.0,4.0,5.0
Pooja Sharma,R1399,CIVIL,A,3.0,4.0,?,3.0,1.0
Rohan Sharma,R1400,IT,C,3.0,3.0,4.0,3.0,4.0
Kavya Naidu,R1401,EEE,A,2.0,2.0,1.0,2.0,2.0
Pavani Rao,R1402,EEE,B,4.0,2.0,2.0,4.0,1.0
Sai Kumar,R1403,CSE,A,5.0,2.0,2.0,1.0,1.0
Nikhil Sharma,R1404,ECE,A,1.0,1.0,3.0,5.0,1.0
Divya Kumar,R1405,CIVIL,A,3.0,1.0,4.0,2.0,4.0
Rahul Sharma,R1406,CIVIL,B,5.0,4.0,5.0,3.0,3.0
Harsha Rao,R1407,IT,C,3.0,1.0,2.0,4.0,4.0
Rohan Rao,R1408,CSE,C,3.0,2.0,2.0,3.0,3.0
Sai Sharma,R1409,CSE,B,1.0,4.0,4.0,1.0,2.0
Divya Sharma,R1410,MECH,B,5.0,5.0,5.0,1.0,5.0
Aarav Kumar,R1411,EEE,C,3.0,5.0,2.0,1.0,4.0
?,R1412,EEE,A,1.0,3.0,3.0,2.0,3.0
Kavya Reddy,R1413,EEE,A,5.0,5.0,2.0,1.0,2.0
Rahul Sharma,R1414,MECH,A,4.0,4.0,1.0,4.0,4.0
Aditya Rao,R1415,MECH,A,3.0,1.0,5.0,3.0,3.0
Divya Reddy,R1416,CSE,C,4.0,2.0,4.0,3.0,5.0
Isha Reddy,R1417,CSE,A,5.0,3.0,2.0,1.0,5.0
Keerthi Naidu,R1418,CIVIL,C,3.0,5.0,3.0,3.0,5.0
Aditya Naidu,R1419,ECE,B,4.0,5.0,5.0,5.0,5.0
Rahul Rao,R1420,IT,C,1.0,4.0,5.0,2.0,5.0
Vihaan Rao,R1421,EEE,B,2.0,3.0,1.0,3.0,5.0
Pavani Rao,R1422,MECH,C,3.0,1.0,4.0,5.0,1.0
Ananya Reddy,R1423,MECH,B,5.0,5.0,3.0,2.0,5.0
Kavya Rao,R1424,EEE,A,?,3.0,5.0,1.0,4.0
Harsha Reddy,R1425,MECH,A,5.0,2.0,3.0,4.0,2.0
Sneha Naidu,R1426,CIVIL,A,2.0,1.0,3.0,4.0,1.0
Harsha Naidu,R1427,MECH,A,2.0,5.0,2.0,2.0,4.0
Rohan Rao,R1428,ECE,C,3.0,1.0,4.0,5.0,1.0
Nikhil Rao,R1429,EEE,B,4.0,3.0,1.0,3.0,2.0
Kavya Rao,R1430,CIVIL,C,2.0,2.0,2.0,5.0,5.0
Ananya Kumar,R1431,IT,C,4.0,2.0,4.0,3.0,?
Keerthi Naidu,R1432,IT,A,5.0,2.0,4.0,1.0,4.0
Pavani Reddy,R1433,EEE,B,2.0,5.0,5.0,1.0,4.0
Harsha Rao,R1434,IT,A,1.0,1.0,4.0,1.0,3.0
Rohan Naidu,R1435,MECH,B,4.0,3.0,2.0,1.0,1.0
Isha Naidu,R1436,EEE,C,3.0,2.0,1.0,2.0,1.0
Arjun Kumar,R1437,CSE,B,1.0,5.0,1.0,2.0,3.0
Sneha Sharma,R1438,CSE,A,2.0,2.0,4.0,5.0,3.0
Diya Naidu,R1439,CSE,C,1.0,5.0,1.0,4.0,1.0
Nikhil Reddy,R1440,CSE,A,2.0,5.0,3.0,5.0,1.0
Sneha Naidu,R1441,CIVIL,A,3.0,4.0,4.0,4.0,3.0
Ananya Reddy,R1442,IT,C,5.0,?,4.0,4.0,2.0
Aditya Kumar,R1443,CSE,C,4.0,4.0,4.0,3.0,1.0
Harsha Naidu,R1444,CIVIL,A,3.0,1.0,4.0,3.0,5.0
Diya Reddy,?,CSE,A,3.0,4.0,4.0,1.0,2.0
Teja Sharma,R1446,EEE,A,1.0,5.0,2.0,2.0,4.0
Harsha Reddy,R1447,IT,B,4.0,3.0,2.0,3.0,1.0
Ananya Sharma,R1448,CIVIL,B,3.0,4.0,4.0,2.0,4.0
Sai Naidu,R1449,IT,C,3.0,2.0,2.0,2.0,2.0
Rahul Naidu,R1450,CIVIL,A,4.0,5.0,2.0,2.0,4.0
Sai Sharma,R1451,MECH,B,1.0,2.0,3.0,2.0,5.0
Nikhil Rao,R1452,IT,C,2.0,3.0,1.0,4.0,3.0
Vihaan Sharma,R1453,ECE,C,2.0,5.0,4.0,3.0,2.0
Arjun Sharma,R1454,ECE,C,2.0,5.0,5.0,4.0,1.0
Pooja Naidu,R1455,CSE,C,5.0,1.0,3.0,5.0,5.0
Diya Rao,R1456,CIVIL,C,2.0,4.0,5.0,2.0,4.0
Teja Naidu,R1457,ECE,C,3.0,5.0,1.0,2.0,4.0
Keerthi Kumar,R1458,CSE,B,3.0,5.0,2.0,1.0,3.0
Rohan Naidu,R1459,EEE,B,1.0,5.0,2.0,3.0,1.0
Divya Sharma,R1460,IT,B,3.0,3.0,3.0,2.0,5.0
Vihaan Reddy,R1461,CSE,A,5.0,?,3.0,3.0,2.0
Harsha Reddy,R1462,CIVIL,C,2.0,3.0,2.0,1.0,5.0
Divya Kumar,R1463,ECE,C,3.0,3.0,1.0,3.0,5.0
Diya Kumar,R1464,EEE,C,1.0,1.0,5.0,2.0,1.0
Keerthi Rao,R1465,CSE,C,3.0,5.0,5.0,2.0,1.0
Teja Reddy,R1466,EEE,C,3.0,4.0,3.0,4.0,5.0
Vihaan Kumar,R1467,CIVIL,B,1.0,2.0,4.0,3.0,5.0
Kavya Naidu,R1468,CSE,A,4.0,2.0,4.0,5.0,4.0
Sneha Reddy,R1469,?,A,5.0,2.0,?,3.0,1.0
Meera Kumar,R1470,IT,A,5.0,2.0,1.0,2.0,3.0
Arjun Kumar,R1471,ECE,B,2.0,1.0,4.0,4.0,1.0
Diya Naidu,R1472,CSE,?,3.0,5.0,3.0,3.0,2.0
Aditya Rao,R1473,MECH,C,1.0,5.0,1.0,1.0,3.0
Sneha Kumar,R1474,CSE,C,3.0,1.0,4.0,4.0,3.0
Sneha Reddy,R1475,CIVIL,B,2.0,1.0,3.0,2.0,4.0
Pooja Rao,R1476,MECH,B,2.0,1.0,2.0,?,3.0
Pavani Reddy,R1477,CSE,C,2.0,1.0,5.0,1.0,3.0
Sneha Rao,R1478,EEE,B,3.0,4.0,4.0,1.0,2.0
Ananya Sharma,R1479,EEE,C,1.0,2.0,3.0,5.0,2.0
Isha Naidu,R1480,ECE,C,5.0,3.0,3.0,5.0,5.0
Sneha Naidu,R1481,CIVIL,A,2.0,2.0,1.0,5.0,2.0
Aarav Reddy,R1482,CSE,A,5.0,4.0,4.0,4.0,5.0
Isha Rao,R1483,CSE,A,1.0,5.0,3.0,2.0,3.0
Rahul Sharma,R1484,MECH,B,1.0,1.0,3.0,1.0,1.0
Keerthi Rao,R1485,CIVIL,A,3.0,2.0,5.0,5.0,5.0
Kavya Rao,R1486,CIVIL,B,5.0,2.0,3.0,4.0,1.0
Harsha Kumar,R1487,CIVIL,C,2.0,4.0,4.0,3.0,2.0
Keerthi Kumar,R1488,MECH,A,3.0,3.0,2.0,5.0,5.0
Keerthi Reddy,R1489,IT,B,5.0,4.0,5.0,5.0,2.0
Keerthi Kumar,R1490,CSE,C,3.0,2.0,3.0,4.0,2.0
Teja Reddy,R1491,ECE,C,5.0,2.0,3.0,5.0,3.0
Keerthi Rao,R1492,CIVIL,C,2.0,2.0,3.0,1.0,4.0
Rahul Kumar,R1493,CSE,C,4.0,5.0,1.0,2.0,3.0
Diya Rao,R1494,MECH,A,4.0,5.0,2.0,5.0,?
Vihaan Sharma,R1495,ECE,B,5.0,4.0,5.0,5.0,5.0
Kavya Sharma,R1496,CIVIL,B,1.0,3.0,1.0,5.0,4.0
Aarav Reddy,R1497,EEE,C,4.0,3.0,2.0,3.0,?
Isha Rao,R1498,CSE,B,5.0,3.0,1.0,4.0,2.0
Sneha Rao,R1499,IT,A,4.0,1.0,3.0,1.0,2.0
Sai Reddy,R1500,IT,B,2.0,2.0,1.0,2.0,1.0
Isha Sharma,R1501,IT,C,5.0,4.0,1.0,4.0,4.0
Aditya Kumar,R1502,IT,A,1.0,2.0,1.0,2.0,3.0
Diya Rao,R1503,IT,A,?,5.0,3.0,5.0,2.0
Ananya Rao,R1504,EEE,B,1.0,3.0,3.0,3.0,2.0
Vihaan Rao,R1505,ECE,B,4.0,1.0,4.0,2.0,2.0
Divya Sharma,R1506,?,B,5.0,2.0,5.0,1.0,3.0
Sneha Naidu,R1507,IT,C,1.0,5.0,4.0,4.0,?
Ananya Rao,R1508,MECH,A,5.0,3.0,5.0,4.0,2.0
Sneha Kumar,R1509,MECH,B,1.0,2.0,5.0,1.0,5.0
Rahul Reddy,R1510,ECE,A,1.0,4.0,3.0,1.0,1.0
Pooja Naidu,R1511,ECE,A,2.0,5.0,3.0,2.0,1.0
Sneha Naidu,R1512,ECE,B,3.0,2.0,4.0,2.0,4.0
Aditya Rao,R1513,EEE,A,1.0,4.0,5.0,3.0,2.0
?,R1514,IT,C,3.0,3.0,4.0,4.0,4.0
Rohan Reddy,R1515,CSE,A,3.0,4.0,4.0,3.0,5.0
Harsha Kumar,R1516,CSE,A,2.0,4.0,3.0,5.0,1.0
Meera Kumar,R1517,CSE,B,5.0,1.0,4.0,1.0,5.0
Rahul Reddy,R1518,CSE,A,3.0,?,5.0,1.0,4.0
Keerthi Sharma,R1519,IT,A,2.0,4.0,2.0,4.0,4.0
Keerthi Rao,R1520,MECH,A,1.0,3.0,3.0,4.0,4.0
Pooja Sharma,R1521,CIVIL,A,1.0,5.0,4.0,2.0,4.0
?,R1522,IT,C,3.0,4.0,?,5.0,5.0
Diya Reddy,R1523,ECE,C,?,5.0,1.0,4.0,1.0
Ananya Sharma,R1524,CSE,B,3.0,5.0,1.0,5.0,2.0
Sai Rao,R1525,MECH,C,5.0,2.0,4.0,3.0,4.0
Teja Sharma,R1526,MECH,B,4.0,4.0,5.0,1.0,1.0
Isha Kumar,R1527,CSE,B,5.0,4.0,3.0,4.0,4.0
Rahul Rao,R1528,MECH,?,2.0,2.0,2.0,3.0,5.0
Sneha Sharma,R1529,MECH,A,1.0,4.0,5.0,1.0,5.0
Rohan Rao,R1530,ECE,C,4.0,4.0,2.0,3.0,1.0
Arjun Naidu,R1531,ECE,C,3.0,5.0,4.0,3.0,1.0
Harsha Kumar,R1532,CSE,B,3.0,2.0,5.0,1.0,1.0
Isha Rao,R1533,CIVIL,C,5.0,3.0,4.0,2.0,3.0
Sai Reddy,R1534,CSE,C,1.0,?,2.0,4.0,3.0
Vihaan Sharma,R1535,CSE,B,4.0,?,5.0,3.0,2.0
Pavani Rao,R1536,EEE,B,5.0,2.0,?,4.0,4.0
Vihaan Naidu,R1537,MECH,B,5.0,2.0,5.0,2.0,2.0
Vihaan Kumar,R1538,CIVIL,B,?,2.0,5.0,1.0,5.0
Diya Rao,R1539,IT,C,5.0,1.0,4.0,2.0,1.0
Arjun Rao,R1540,MECH,A,?,3.0,4.0,3.0,1.0
Rohan Rao,R1541,CIVIL,C,4.0,1.0,4.0,3.0,1.0
Kavya Reddy,R1542,CSE,A,2.0,2.0,4.0,3.0,3.0
Harsha Naidu,R1543,CIVIL,A,3.0,5.0,1.0,2.0,5.0
Sneha Sharma,R1544,MECH,B,1.0,3.0,4.0,2.0,5.0
Harsha Kumar,R1545,CIVIL,C,2.0,5.0,5.0,2.0,3.0
Rahul Rao,R1546,IT,C,1.0,3.0,5.0,5.0,4.0
Rahul Reddy,R1547,MECH,A,1.0,4.0,2.0,3.0,4.0
Nikhil Sharma,R1548,CIVIL,B,5.0,3.0,?,2.0,2.0
Meera Naidu,R1549,ECE,C,?,2.0,4.0,4.0,4.0
Aditya Reddy,R1550,CSE,B,5.0,5.0,1.0,2.0,?
Diya Rao,R1551,IT,A,1.0,2.0,2.0,3.0,1.0
Vihaan Kumar,R1552,EEE,B,1.0,4.0,?,5.0,2.0
Pavani Naidu,R1553,EEE,B,4.0,4.0,5.0,4.0,4.0
Meera Kumar,R1554,IT,C,1.0,3.0,4.0,2.0,4.0
Sai Rao,R1555,CIVIL,C,5.0,5.0,3.0,1.0,2.0
Kavya Kumar,R1556,CIVIL,?,2.0,3.0,1.0,3.0,4.0
Aditya Reddy,R1557,CSE,B,2.0,4.0,2.0,3.0,3.0
Vihaan Naidu,R1558,IT,B,2.0,1.0,2.0,1.0,3.0
Teja Rao,R1559,ECE,B,4.0,2.0,5.0,4.0,3.0
Divya Kumar,R1560,CIVIL,B,2.0,5.0,2.0,1.0,5.0
Isha Naidu,R1561,CIVIL,C,4.0,1.0,2.0,2.0,3.0
Meera Sharma,R1562,CIVIL,A,2.0,1.0,?,1.0,2.0
Harsha Reddy,?,ECE,B,1.0,1.0,1.0,1.0,3.0
Kavya Kumar,R1564,EEE,C,1.0,1.0,4.0,2.0,5.0
Sneha Sharma,R1565,CSE,B,3.0,1.0,3.0,3.0,2.0
Pavani Naidu,R1566,IT,B,1.0,3.0,3.0,2.0,3.0
Sneha Naidu,R1567,CIVIL,B,5.0,5.0,2.0,2.0,1.0
Diya Naidu,R1568,EEE,A,2.0,2.0,2.0,3.0,3.0
Meera Rao,R1569,ECE,B,1.0,5.0,4.0,2.0,3.0
Nikhil Reddy,R1570,IT,A,3.0,1.0,4.0,2.0,3.0
Ananya Rao,R1571,ECE,B,1.0,5.0,1.0,1.0,3.0
Arjun Rao,R1572,MECH,B,4.0,4.0,1.0,5.0,2.0
Nikhil Rao,R1573,CIVIL,C,4.0,4.0,2.0,3.0,2.0
Aarav Sharma,R1574,CSE,B,3.0,3.0,1.0,3.0,2.0
Pooja Naidu,R1575,CIVIL,C,5.0,3.0,1.0,3.0,5.0
Keerthi Sharma,R1576,CIVIL,A,5.0,3.0,2.0,3.0,2.0
Aditya Reddy,R1577,MECH,A,1.0,3.0,5.0,5.0,3.0
Sai Reddy,R1578,EEE,C,5.0,4.0,5.0,5.0,1.0
Sai Reddy,R1579,CSE,A,3.0,4.0,4.0,4.0,3.0
Rahul Sharma,R1580,MECH,B,4.0,1.0,2.0,1.0,1.0
Sai Kumar,R1581,EEE,A,5.0,5.0,2.0,4.0,2.0
Keerthi Kumar,R1582,EEE,C,5.0,5.0,1.0,4.0,3.0
Arjun Sharma,R1583,CSE,A,2.0,4.0,3.0,3.0,5.0
Rohan Rao,R1584,EEE,C,1.0,3.0,4.0,5.0,1.0
Sneha Kumar,R1585,CIVIL,C,5.0,4.0,4.0,2.0,3.0
Diya Sharma,R1586,MECH,C,5.0,1.0,2.0,3.0,3.0
Divya Sharma,R1587,?,C,5.0,3.0,4.0,1.0,5.0
Vihaan Reddy,R1588,MECH,B,3.0,5.0,3.0,4.0,4.0
Divya Rao,R1589,EEE,A,5.0,5.0,4.0,4.0,2.0
Arjun Reddy,R1590,CIVIL,A,3.0,2.0,1.0,3.0,4.0
Pooja Kumar,R1591,IT,C,5.0,3.0,1.0,5.0,2.0
Rohan Reddy,R1592,CSE,A,3.0,4.0,3.0,1.0,1.0
Ananya Naidu,R1593,ECE,C,4.0,1.0,2.0,4.0,1.0
Vihaan Sharma,R1594,EEE,B,5.0,4.0,3.0,2.0,3.0
Pooja Kumar,R1595,ECE,?,1.0,5.0,4.0,1.0,1.0
Isha Rao,R1596,IT,A,4.0,5.0,5.0,3.0,4.0
Pooja Kumar,R1597,ECE,A,1.0,3.0,2.0,5.0,1.0
Arjun Sharma,R1598,CIVIL,C,4.0,4.0,5.0,2.0,5.0
Diya Sharma,R1599,MECH,C,3.0,1.0,3.0,4.0,4.0
Pooja Kumar,R1600,CIVIL,A,3.0,5.0,4.0,?,1.0
Vihaan Sharma,R1601,EEE,A,4.0,4.0,3.0,1.0,1.0
Harsha Kumar,R1602,CSE,A,2.0,2.0,3.0,2.0,4.0
Arjun Kumar,R1603,?,B,3.0,3.0,5.0,4.0,5.0
Sneha Kumar,R1604,?,B,1.0,4.0,5.0,3.0,5.0
Harsha Rao,R1605,CSE,A,2.0,2.0,1.0,2.0,5.0
Aditya Reddy,R1606,CIVIL,A,3.0,1.0,4.0,5.0,4.0
Arjun Rao,R1607,IT,C,5.0,4.0,3.0,4.0,3.0
Harsha Naidu,R1608,CIVIL,B,2.0,5.0,2.0,5.0,2.0
Sai Kumar,R1609,ECE,C,1.0,3.0,4.0,3.0,5.0
Rohan Rao,R1610,MECH,C,4.0,4.0,3.0,1.0,2.0
Nikhil Kumar,R1611,IT,A,2.0,4.0,3.0,2.0,5.0
Aditya Rao,R1612,CIVIL,B,3.0,4.0,2.0,3.0,2.0
Kavya Reddy,R1613,?,C,2.0,4.0,5.0,5.0,4.0
Isha Kumar,R1614,CSE,C,3.0,2.0,4.0,2.0,3.0
Teja Kumar,R1615,IT,C,2.0,4.0,3.0,4.0,2.0
Keerthi Kumar,R1616,CIVIL,B,4.0,4.0,5.0,2.0,4.0
Pooja Naidu,R1617,MECH,A,3.0,3.0,4.0,1.0,1.0
Divya Reddy,R1618,CSE,B,5.0,4.0,4.0,3.0,2.0
Ananya Reddy,R1619,CSE,B,5.0,3.0,2.0,5.0,1.0
Sai Reddy,R1620,CIVIL,C,1.0,1.0,3.0,5.0,5.0
Sai Sharma,R1621,MECH,C,2.0,3.0,4.0,2.0,2.0
Sai Naidu,R1622,EEE,B,1.0,?,3.0,1.0,2.0
Rohan Sharma,R1623,CIVIL,C,1.0,2.0,1.0,3.0,?
Kavya Reddy,R1624,ECE,A,2.0,5.0,2.0,3.0,4.0
Keerthi Kumar,R1625,IT,C,2.0,3.0,4.0,3.0,5.0
Aditya Naidu,R1626,CSE,C,1.0,4.0,3.0,4.0,2.0
?,R1627,MECH,B,4.0,5.0,3.0,1.0,3.0
Harsha Reddy,R1628,EEE,A,1.0,5.0,4.0,3.0,3.0
Teja Naidu,R1629,EEE,B,5.0,1.0,3.0,4.0,1.0
Kavya Kumar,R1630,MECH,C,1.0,4.0,2.0,5.0,1.0
Kavya Rao,R1631,CIVIL,A,5.0,2.0,2.0,1.0,2.0
Pooja Sharma,R1632,CSE,B,3.0,2.0,1.0,3.0,4.0
Sai Sharma,R1633,CSE,A,5.0,1.0,5.0,3.0,5.0
Aditya Rao,R1634,CSE,B,4.0,4.0,4.0,3.0,4.0
Aditya Reddy,R1635,ECE,C,4.0,3.0,2.0,5.0,2.0
Kavya Sharma,R1636,CIVIL,A,3.0,4.0,5.0,2.0,4.0
?,R1637,CIVIL,B,1.0,3.0,1.0,2.0,1.0
Kavya Naidu,R1638,MECH,B,3.0,5.0,4.0,5.0,5.0
Isha Rao,R1639,IT,B,?,1.0,4.0,4.0,2.0
Rohan Reddy,R1640,EEE,C,4.0,5.0,5.0,3.0,5.0
Sneha Reddy,R1641,ECE,B,4.0,3.0,3.0,1.0,4.0
Rohan Kumar,R1642,CSE,C,2.0,3.0,3.0,5.0,2.0
Isha Rao,R1643,ECE,C,2.0,4.0,?,1.0,4.0
Meera Rao,R1644,EEE,B,5.0,1.0,4.0,5.0,4.0
Meera Kumar,R1645,CSE,C,4.0,5.0,4.0,1.0,3.0
Teja Rao,R1646,CSE,C,3.0,1.0,5.0,1.0,2.0
Teja Sharma,R1647,EEE,A,4.0,5.0,1.0,1.0,2.0
Diya Reddy,R1648,IT,C,1.0,1.0,4.0,1.0,1.0
Sai Rao,R1649,MECH,B,4.0,4.0,3.0,3.0,3.0
Diya Kumar,R1650,CIVIL,B,4.0,3.0,2.0,4.0,3.0
Kavya Rao,R1651,MECH,B,3.0,4.0,3.0,4.0,3.0
Diya Naidu,R1652,CIVIL,B,5.0,4.0,3.0,2.0,1.0
Aarav Reddy,R1653,EEE,A,1.0,5.0,3.0,2.0,5.0
Keerthi Rao,R1654,IT,A,5.0,4.0,4.0,5.0,2.0
Arjun Kumar,R1655,IT,C,2.0,5.0,2.0,2.0,2.0
Arjun Kumar,R1656,MECH,C,3.0,3.0,3.0,4.0,1.0
Aditya Kumar,R1657,IT,A,3.0,1.0,5.0,4.0,1.0
Kavya Sharma,R1658,MECH,B,5.0,4.0,1.0,1.0,1.0
Kavya Naidu,R1659,EEE,B,3.0,3.0,1.0,5.0,1.0
Divya Naidu,R1660,IT,A,3.0,3.0,4.0,3.0,1.0
?,R1661,ECE,A,2.0,1.0,2.0,5.0,5.0
Ananya Naidu,R1662,EEE,C,2.0,1.0,4.0,?,4.0
Teja Naidu,R1663,CIVIL,B,3.0,3.0,5.0,4.0,2.0
Pavani Kumar,R1664,CIVIL,A,5.0,1.0,4.0,3.0,1.0
Nikhil Sharma,R1665,EEE,A,5.0,2.0,3.0,2.0,5.0
Isha Naidu,R1666,MECH,B,4.0,1.0,1.0,3.0,3.0
Sneha Naidu,R1667,ECE,?,2.0,5.0,4.0,4.0,1.0
Teja Reddy,R1668,ECE,A,4.0,2.0,5.0,1.0,1.0
Harsha Rao,R1669,CSE,A,4.0,1.0,5.0,5.0,5.0
Kavya Naidu,R1670,CIVIL,A,2.0,2.0,3.0,2.0,4.0
Aarav Rao,R1671,ECE,A,3.0,4.0,3.0,4.0,4.0
Ananya Rao,R1672,ECE,B,1.0,4.0,3.0,1.0,4.0
Harsha Reddy,R1673,ECE,B,5.0,1.0,3.0,2.0,5.0
Kavya Kumar,R1674,ECE,B,5.0,4.0,3.0,5.0,4.0
Harsha Reddy,R1675,MECH,A,3.0,1.0,4.0,2.0,2.0
Aditya Sharma,R1676,ECE,C,1.0,5.0,5.0,?,4.0
Nikhil Kumar,R1677,CSE,C,4.0,4.0,2.0,3.0,1.0
Pooja Naidu,R1678,IT,B,2.0,1.0,2.0,5.0,1.0
?,R1679,EEE,B,3.0,4.0,3.0,?,?
Harsha Kumar,R1680,MECH,A,2.0,1.0,4.0,5.0,4.0
Teja Kumar,R1681,ECE,C,5.0,4.0,4.0,3.0,4.0
Harsha Rao,R1682,ECE,B,5.0,5.0,?,5.0,5.0
Sai Reddy,R1683,ECE,A,5.0,1.0,1.0,1.0,3.0
Sneha Kumar,R1684,EEE,C,3.0,2.0,3.0,3.0,1.0
Keerthi Rao,R1685,CSE,B,3.0,1.0,4.0,5.0,2.0
Kavya Sharma,?,EEE,B,1.0,2.0,4.0,1.0,2.0
Divya Sharma,R1687,ECE,C,1.0,5.0,5.0,5.0,2.0
Isha Reddy,R1688,MECH,C,2.0,4.0,5.0,3.0,2.0
Kavya Kumar,R1689,CIVIL,?,5.0,5.0,5.0,2.0,2.0
Keerthi Sharma,R1690,CSE,B,1.0,5.0,?,3.0,4.0
Pooja Sharma,R1691,CSE,B,3.0,1.0,3.0,3.0,1.0
Nikhil Reddy,R1692,CIVIL,A,2.0,3.0,4.0,2.0,3.0
Pooja Naidu,?,CIVIL,C,5.0,2.0,5.0,3.0,2.0
Isha Kumar,R1694,EEE,A,2.0,1.0,4.0,1.0,5.0
Kavya Naidu,R1695,ECE,C,1.0,3.0,2.0,1.0,3.0
Nikhil Reddy,R1696,IT,C,3.0,5.0,4.0,4.0,1.0
Arjun Reddy,R1697,IT,B,3.0,5.0,3.0,4.0,5.0
Kavya Rao,R1698,CIVIL,B,4.0,3.0,3.0,3.0,4.0
Pooja Rao,R1699,CSE,A,3.0,4.0,5.0,5.0,2.0
Divya Kumar,R1700,CIVIL,C,3.0,4.0,5.0,3.0,5.0
Rohan Sharma,R1701,MECH,B,3.0,2.0,5.0,4.0,1.0
Sneha Kumar,R1702,CSE,B,3.0,5.0,2.0,1.0,4.0
Harsha Sharma,R1703,ECE,C,3.0,3.0,5.0,5.0,1.0
Keerthi Rao,R1704,MECH,C,3.0,2.0,5.0,1.0,3.0
Meera Rao,R1705,IT,B,5.0,3.0,?,3.0,2.0
Sneha Kumar,R1706,MECH,A,3.0,?,5.0,5.0,5.0
Aditya Naidu,R1707,IT,A,2.0,2.0,5.0,5.0,2.0
Divya Reddy,R1708,MECH,C,4.0,4.0,1.0,5.0,3.0
Sai Rao,R1709,IT,B,2.0,3.0,2.0,3.0,4.0
Kavya Rao,R1710,IT,C,2.0,4.0,3.0,1.0,2.0
