@RELATION student_feedback_advanced

@ATTRIBUTE student_name STRING
@ATTRIBUTE pin_no NUMERIC
@ATTRIBUTE department {CSE,ECE,EEE,MECH,CIVIL}
@ATTRIBUTE section {A,B,C}
@ATTRIBUTE teaching_effectiveness NUMERIC
@ATTRIBUTE course_content NUMERIC
@ATTRIBUTE classroom_interaction NUMERIC
@ATTRIBUTE learning_experience NUMERIC
@ATTRIBUTE attendance NUMERIC
@ATTRIBUTE satisfaction {highly_satisfied,satisfied,dissatisfied}

@DATA
Nqmixixj_Dajlqcg,10343,MECH,C,2,3,4,4,100,satisfied
Mksfie_Otuqstu,10344,EEE,C,1,4,1,3,97,dissatisfied
Vopksg_Wiuheekz,10345,EEE,A,2,1,2,1,77,dissatisfied
Dauydl_Xqidv,10346,EEE,A,5,4,2,1,72,satisfied
Pxcvs_Rjfjslgp,10347,ECE,B,5,2,3,3,52,?
Okvsmg_Svqjmd,10348,CSE,B,3,5,2,3,51,satisfied
Vrtbj_Afvnmhg,10349,CIVIL,A,5,?,1,5,70,satisfied
?,10350,CIVIL,B,3,5,3,?,77,satisfied
Cjkdlk_Etxjgz,10351,MECH,B,5,4,3,4,69,satisfied
Nucgl_Ngjckuhu,10352,MECH,A,3,3,3,2,65,dissatisfied
Hgbzdy_Qignhxd,10353,ECE,B,3,1,4,2,87,dissatisfied
Yqxgck_Yfwmk,10354,CIVIL,A,?,4,3,5,94,satisfied
Guxamahh_Qpafrrlo,10355,CSE,A,3,2,3,4,83,satisfied
Kdfsjgs_Wsvoc,10356,CIVIL,C,5,4,2,2,?,satisfied
Hftdbqv_Tyfkag,10357,MECH,A,2,3,2,2,74,dissatisfied
Ffodzgrg_Pirspc,10358,CIVIL,?,1,5,4,2,75,satisfied
Tasbvjq_Rflkuxl,10359,MECH,A,5,3,3,2,70,satisfied
Sxpmg_Lakjnfav,10360,MECH,A,2,3,3,5,63,satisfied
Zohjm_Qsjprixa,10361,?,B,1,4,2,4,55,dissatisfied
Rfobdzbo_Wtker,10362,?,A,3,?,4,4,64,satisfied
Opvldba_Kuaqbmo,10363,EEE,C,5,2,5,4,78,satisfied
Yrgvmxce_Binpsa,10364,EEE,B,3,1,3,2,53,dissatisfied
Wjbyzkpd_Ocvxrg,10365,EEE,C,2,3,1,4,95,dissatisfied
Xaztc_Oiljbecs,10366,MECH,A,5,4,2,2,61,satisfied
Orylj_Jolijbqs,10367,CSE,A,5,5,2,2,?,satisfied
Ibxhqkr_Waynfv,10368,CSE,B,2,5,4,5,85,satisfied
Jdzab_Cuvogtb,10369,ECE,A,4,4,2,1,95,dissatisfied
Uxiztchf_Vemwtvy,10370,CSE,B,5,1,1,2,56,dissatisfied
Divud_Gomjxbqn,10371,ECE,B,5,4,4,?,50,highly_satisfied
Wbxgom_Agvhyca,10372,EEE,C,5,5,?,4,95,highly_satisfied
Tnlexi_Cedfshi,10373,ECE,A,2,2,5,1,52,dissatisfied
Rlzipn_Bxhspq,10374,?,A,5,5,5,5,77,highly_satisfied
Rjlpmnq_Oryxkur,10375,CSE,C,2,2,1,2,79,dissatisfied
Bmahyaid_Zlsgdv,10376,?,C,2,3,5,5,86,satisfied
Ufulxul_Ggsfj,10377,ECE,A,3,3,4,1,91,dissatisfied
Axcseac_Wjjahw,10378,EEE,A,4,1,5,4,96,satisfied
Ethcdev_Amvysgp,10379,CIVIL,A,3,4,4,3,63,satisfied
?,10380,EEE,A,?,1,3,5,65,dissatisfied
Ervwthea_Axptdfl,10381,CIVIL,B,1,5,1,2,75,dissatisfied
Fwdgn_Ncvikqrj,10382,CIVIL,C,1,4,2,2,88,?
Fdgfxhvy_Buctmbj,10383,MECH,B,?,3,4,4,72,satisfied
Mgjecyd_Maafjtzq,10384,CSE,?,4,2,3,3,60,satisfied
Etaiojhe_Njkdty,10385,CIVIL,B,?,4,3,1,?,dissatisfied
Pnfvdcd_Kldykt,10386,MECH,A,?,3,2,3,81,satisfied
Gpwuq_Iuyqh,10387,CSE,A,5,1,2,2,78,dissatisfied
Xvcugdhz_Rgntak,10388,EEE,C,4,5,5,4,92,highly_satisfied
Elripdwf_Dquohw,10389,CSE,A,2,4,1,?,89,dissatisfied
Aijlslpb_Qazlep,10390,EEE,A,4,?,?,?,71,dissatisfied
Tfxscpsz_Balzdpb,10391,?,A,5,4,4,5,89,highly_satisfied
Hdkqi_Cxiykr,10392,ECE,C,1,4,1,1,53,dissatisfied
Knlxygd_Qavjlt,10393,CIVIL,B,5,3,5,3,68,satisfied
Dwnlo_Yszeezvb,10394,CIVIL,A,3,?,4,1,?,dissatisfied
Joawxu_Tcfsiukn,10395,MECH,C,?,5,4,5,58,highly_satisfied
Kjicjuiv_Vudzynn,10396,MECH,A,5,5,3,3,79,satisfied
Mwplwtbr_Xlcyylb,10397,EEE,B,3,3,2,5,?,satisfied
Iwfgqs_Wjmrwmv,10398,MECH,C,3,4,5,3,77,satisfied
Ifodg_Zedesdd,10399,MECH,B,5,5,1,1,58,satisfied
Lescj_Vkgzfsr,10400,CSE,A,2,4,1,1,63,?
Uicxmqm_Eqyte,10401,ECE,C,4,2,3,5,91,satisfied
Hpnrfxxu_Spbrgsn,10402,CIVIL,A,2,5,4,5,69,satisfied
Osimx_Subzkd,10403,EEE,A,1,2,2,5,88,dissatisfied
Hxfrrsn_Psvqthhj,10404,MECH,C,5,?,4,2,91,satisfied
Jiuejbe_Cdsbo,10405,CSE,B,2,5,1,2,87,dissatisfied
Nwmvm_Wbobj,10406,MECH,B,?,5,2,3,77,satisfied
Mffxwiii_Yanzth,10407,?,?,1,5,4,5,100,satisfied
Mskih_Sbssy,10408,CIVIL,C,2,1,3,4,50,dissatisfied
Ujaxxz_Otouz,10409,?,C,5,3,5,3,71,satisfied
Gwauzfh_Iszjojhk,10410,CIVIL,A,2,1,5,1,99,dissatisfied
Wjcmunhy_Hoxufgr,10411,CSE,C,3,2,5,3,71,satisfied
Phedcsj_Devfp,10412,ECE,B,1,?,?,4,64,satisfied
Dwubzizg_Htthfjo,10413,EEE,A,5,2,2,2,?,dissatisfied
?,10414,CSE,C,4,2,5,1,71,satisfied
Qlroft_Tzyctc,10415,MECH,A,3,1,1,2,54,dissatisfied
Mfrkt_Phgqpot,10416,ECE,C,4,3,4,2,50,satisfied
Iwmbkwca_Bpeim,10417,ECE,C,4,4,2,3,73,satisfied
Dbexi_Tmakwm,10418,ECE,A,4,2,5,3,84,satisfied
Rmvrktch_Mgtxlmdu,10419,MECH,B,2,?,4,4,67,satisfied
Twzvdiw_Rvwpyk,10420,CIVIL,B,3,5,1,5,55,satisfied
Blzirwlb_Gtaotbbk,10421,MECH,C,1,2,1,2,54,dissatisfied
Mxlzvs_Xhltoypd,10422,CSE,A,1,2,1,1,52,?
Dabzeuar_Qqavkp,10423,CSE,A,1,1,4,5,60,dissatisfied
Ndixyp_Dvcks,10424,CSE,C,1,4,2,2,79,dissatisfied
Wpwfgfhl_Bjoixcuo,10425,CSE,C,2,4,5,4,81,satisfied
Xjmag_Ipzvmhc,10426,MECH,B,2,1,4,4,65,dissatisfied
Bgdny_Xfkjch,10427,CSE,C,3,4,2,3,80,satisfied
Iygast_Ysnzfi,10428,CSE,B,2,2,1,2,52,dissatisfied
?,10429,MECH,A,1,4,1,4,67,dissatisfied
Waulg_Zrnsnybm,10430,EEE,C,1,3,5,1,85,dissatisfied
Scyxyfui_Coslcb,10431,MECH,C,3,5,1,2,84,dissatisfied
Glzpthy_Smugphb,10432,EEE,B,3,5,3,2,89,satisfied
Soptzho_Kjujcrun,10433,EEE,B,1,4,1,5,?,?
Wuijty_Xtgiqodv,10434,CIVIL,C,?,3,2,4,82,satisfied
Yuqaft_Mcwap,10435,CIVIL,A,3,?,4,5,79,satisfied
Pkuntxn_Zkisaq,10436,EEE,B,3,1,1,5,58,dissatisfied
Dxubabx_Gdfedepx,10437,CSE,B,4,3,1,4,61,satisfied
Iapop_Dducu,10438,CSE,C,?,3,3,2,54,dissatisfied
Axsxkwp_Tkjmk,10439,EEE,A,2,1,1,1,67,dissatisfied
Jkjvesd_Vgjiyti,10440,EEE,C,2,2,1,5,55,dissatisfied
Iwehfik_Btdjhzo,10441,MECH,B,2,4,1,5,96,satisfied
?,10442,CSE,B,2,5,5,4,81,satisfied
Qsunm_Evulrmqj,10443,MECH,B,4,?,5,2,52,satisfied
Rpzly_Bawkuprd,10444,ECE,C,3,4,4,3,83,satisfied
Buvyoj_Hwwyzmf,10445,ECE,A,1,1,3,1,74,dissatisfied
Hgqsgfb_Cdklq,10446,CIVIL,A,1,?,3,4,99,dissatisfied
Vyywmjg_Kvehh,10447,MECH,C,2,2,?,1,100,?
Vebqbty_Sjwcve,10448,CIVIL,B,1,1,2,2,62,dissatisfied
Fpshacnt_Jmrui,10449,?,B,2,1,4,3,83,dissatisfied
Zdguykwy_Decyvewi,10450,CIVIL,A,4,3,1,1,89,dissatisfied
Cvsucxq_Zcelbwon,10451,MECH,A,1,5,1,5,86,satisfied
?,10452,EEE,C,1,4,5,3,66,satisfied
Souafund_Jhfhvaz,10453,CSE,A,5,3,2,2,94,satisfied
Ojxjrov_Hjahnwxp,10454,EEE,C,3,3,3,?,61,satisfied
Ikxovgr_Szwfvjb,10455,MECH,C,3,4,2,4,80,satisfied
?,10456,EEE,B,4,5,4,3,52,satisfied
Dluprgh_Ioyhu,10457,MECH,A,4,1,1,2,58,dissatisfied
Yrdao_Sznovnj,10458,MECH,B,1,5,1,5,91,satisfied
Fctbcf_Cdtkcky,10459,CSE,A,2,4,4,5,57,?
Xdduzxz_Pkydvn,10460,EEE,A,3,3,1,1,96,dissatisfied
Tqiwykw_Gecftqyo,10461,MECH,C,5,3,4,5,89,highly_satisfied
Dkoblmn_Mrtnoo,10462,EEE,B,5,1,5,5,82,satisfied
Terlgrls_Pxmwbkys,10463,EEE,A,4,5,3,5,69,highly_satisfied
Ntjqca_Cwmjt,10464,MECH,B,?,?,1,5,70,dissatisfied
Stgfnc_Qmovehd,10465,CIVIL,B,2,4,1,5,69,satisfied
Dzoga_Mtrhpqh,10466,ECE,A,5,4,2,3,73,satisfied
Iyhbl_Asdsefrh,10467,ECE,A,5,1,1,3,86,dissatisfied
Jmwkkwio_Opschwd,10468,MECH,C,1,1,3,2,50,dissatisfied
Kddgdoz_Thfoumr,10469,EEE,C,?,3,5,2,?,satisfied
Rshwlav_Whamweg,10470,MECH,A,2,2,2,2,76,dissatisfied
Jplsoiyk_Hopilup,10471,CIVIL,A,2,4,2,4,52,satisfied
Haqhe_Tnsanxtm,10472,CIVIL,A,3,?,3,5,90,satisfied
Myjzd_Dghlmtlu,10473,EEE,A,5,3,3,1,73,satisfied
Qunnmn_Ababu,10474,CIVIL,C,1,3,2,4,94,dissatisfied
Lnypralc_Hancasri,10475,CIVIL,C,4,4,2,2,57,satisfied
?,10476,EEE,C,2,2,?,5,62,dissatisfied
Jxksu_Lhjamwpc,10477,ECE,B,2,4,3,4,77,satisfied
Awtmmlnk_Dazakahu,10478,ECE,C,?,3,2,5,50,dissatisfied
Xzfwmlw_Daakuw,10479,ECE,A,5,2,2,4,100,satisfied
Hluara_Kvvfv,10480,CSE,?,3,4,2,4,69,satisfied
Ulmiq_Mgcas,10481,?,C,2,4,4,1,85,dissatisfied
Mvtsspr_Teqyzq,10482,ECE,A,1,3,5,2,71,dissatisfied
Jqzjew_Dyxwaali,10483,CIVIL,B,1,4,1,4,100,dissatisfied
Huewmd_Rggjznk,10484,MECH,B,4,5,3,1,57,satisfied
?,10485,CSE,A,2,5,4,3,98,satisfied
Vmdylser_Ifluqn,10486,ECE,B,4,4,5,2,80,satisfied
Loqaaj_Xsyhevsb,10487,CSE,C,5,4,1,2,81,satisfied
Jxezlvj_Mbedwlxi,10488,ECE,A,3,?,3,3,71,satisfied
Atloro_Goiuff,10489,CSE,A,2,3,3,3,51,dissatisfied
Uoxjbtjp_Wtgsh,10490,EEE,C,2,2,5,2,86,dissatisfied
Hayqj_Dcjes,10491,CSE,B,?,1,3,4,93,dissatisfied
Cvlequed_Hitodbq,10492,MECH,B,4,1,5,4,93,satisfied
Vstubrm_Khzvknv,10493,EEE,B,5,2,5,4,81,satisfied
Ptysa_Ludqdie,10494,MECH,B,1,3,2,5,81,?
Dkhqgnor_Bbwjxmf,10495,CSE,B,4,1,4,1,75,dissatisfied
Ktfws_Qjbret,10496,ECE,C,3,2,3,2,58,dissatisfied
Hssbf_Llivp,10497,CSE,C,1,3,4,4,66,satisfied
Gleynt_Bzbizesa,10498,CSE,C,4,2,3,1,90,dissatisfied
Awyrqzv_Bzujts,10499,MECH,A,2,2,2,5,91,dissatisfied
Dnnvmui_Gfbnjz,10500,ECE,A,5,1,4,4,81,satisfied
Hrewt_Jgtrlk,10501,CSE,A,5,1,3,4,55,satisfied
Tcklhmqj_Sbslrq,10502,CSE,B,4,1,3,5,59,satisfied
Npqxwrea_Wlrlwc,10503,ECE,B,4,4,3,?,75,satisfied
Tmauaqi_Yujoy,10504,ECE,B,2,3,1,1,51,dissatisfied
Usgqv_Oixgo,10505,CSE,C,1,1,1,5,67,dissatisfied
?,10506,CSE,C,3,4,1,5,54,?
Snjpz_Happhit,10507,EEE,B,3,1,5,5,63,satisfied
Qjuby_Wdooo,10508,MECH,C,5,4,3,5,70,highly_satisfied
Bwtyca_Cjjpqj,10509,MECH,C,4,2,5,4,92,satisfied
Dcjiexly_Ndmwed,10510,EEE,A,1,3,1,2,67,dissatisfied
Bsuasyhq_Alyopt,10511,?,B,5,3,4,2,87,satisfied
Lnlnmw_Dfikojsu,10512,MECH,C,4,3,4,4,100,satisfied
Qtfad_Soebtjr,10513,CIVIL,B,1,4,3,1,68,dissatisfied
Kbdsijx_Clgyzu,10514,EEE,C,3,1,1,2,61,dissatisfied
Bpdtiqm_Cvzoug,10515,CIVIL,A,3,3,?,4,98,satisfied
Guwonb_Clplxgpu,10516,ECE,C,1,3,4,2,100,dissatisfied
Xiuinej_Dybmdtp,10517,CIVIL,B,2,2,2,4,85,dissatisfied
Ovpma_Jmjvwgh,10518,CIVIL,B,3,1,5,3,78,satisfied
Flxau_Qbqdor,10519,CIVIL,B,5,1,4,4,53,satisfied
Kuixmq_Uqofuals,10520,EEE,C,3,3,3,3,68,satisfied
Uvtxzozd_Dtdkw,10521,MECH,B,?,3,3,3,95,satisfied
Vytayst_Wcuvyr,10522,EEE,A,2,4,1,3,63,dissatisfied
Cjlcygzn_Mslrf,10523,ECE,B,5,3,1,4,57,satisfied
Mgxligx_Njqxxb,10524,EEE,B,5,5,3,2,70,satisfied
Issqt_Njoce,10525,CIVIL,A,1,5,1,2,94,dissatisfied
Srjccoqq_Tvzqsz,10526,EEE,B,2,1,1,?,86,?
Czxzx_Tiojshmm,10527,ECE,A,?,1,1,2,54,dissatisfied
Yapjohe_Jnykp,10528,ECE,B,1,2,2,4,61,dissatisfied
Zhqmxzk_Dewtwohl,10529,EEE,A,4,5,3,1,50,satisfied
Tkjobjjw_Dcqzkisj,10530,MECH,C,2,?,4,5,51,satisfied
Bjbfu_Pwerw,10531,EEE,?,4,4,1,5,55,satisfied
Dqzkjfwo_Rcvjj,10532,CSE,?,?,1,5,5,89,satisfied
Mtcpi_Toirequ,10533,MECH,C,5,4,2,4,?,satisfied
Zxqocii_Tlgomfq,10534,EEE,A,4,2,5,1,50,?
Nchjo_Nrtwn,10535,CIVIL,B,2,1,4,4,83,dissatisfied
Kyizww_Vtqlxtdi,10536,EEE,A,1,1,?,2,65,dissatisfied
?,10537,CIVIL,B,3,1,2,4,91,dissatisfied
Nxxjcw_Kofuu,10538,EEE,B,?,4,4,4,78,satisfied
Evehri_Ognsak,10539,ECE,C,2,5,5,2,80,satisfied
Lkwihq_Ssivcc,10540,CSE,B,5,3,1,3,94,?
Pjfmdwqx_Uylhbp,10541,EEE,A,3,3,2,4,88,satisfied
Yuhlng_Zasicz,10542,MECH,A,1,4,4,4,90,satisfied
Lttxg_Pddjhg,10543,MECH,A,4,4,?,5,96,satisfied
Trqndy_Lbynk,10544,?,A,2,3,1,?,62,dissatisfied
Mizxyg_Zhtrjgl,10545,MECH,B,4,3,3,?,70,dissatisfied
Hxljyxzy_Xdtiv,10546,CIVIL,?,3,2,1,4,72,dissatisfied
Wxqgdkk_Qbwebvvx,10547,CSE,A,1,3,4,4,70,satisfied
Ycfoqriq_Wmtihy,10548,MECH,B,1,4,2,3,91,dissatisfied
?,10549,CSE,C,3,5,5,3,97,satisfied
Uuxyfmm_Cbzzfl,10550,MECH,A,3,5,4,5,87,highly_satisfied
Ydpuwkq_Dajkshtz,10551,CSE,B,3,5,3,3,66,satisfied
?,10552,ECE,A,1,1,2,3,55,dissatisfied
Xxrskek_Hrdhc,10553,MECH,B,4,5,1,4,62,satisfied
Dojimabu_Kpuuxt,10554,EEE,A,5,1,1,5,81,satisfied
Dpveuzqz_Wdbpxsd,10555,MECH,C,1,1,1,2,88,dissatisfied
Suhfgzro_Zkckfwnp,10556,ECE,B,4,1,5,3,55,?
Xwbnfje_Nshovfdd,10557,?,C,?,2,1,2,57,dissatisfied
?,10558,ECE,A,2,2,1,2,100,dissatisfied
Ltymdr_Nplcda,10559,CIVIL,A,?,2,3,2,91,dissatisfied
Bukbp_Taxont,10560,MECH,A,5,5,2,2,73,satisfied
Aiywpzo_Kczoifag,10561,ECE,A,4,3,3,1,79,dissatisfied
Zjsztij_Oxxdm,10562,MECH,B,1,2,3,?,67,dissatisfied
?,10563,CIVIL,C,?,4,4,5,81,highly_satisfied
Zplhzlfe_Gstbmaf,10564,EEE,A,3,1,1,5,60,dissatisfied
Iatcwrlm_Otpybs,10565,ECE,B,?,1,5,4,83,satisfied
Lhforovf_Ukpdeo,10566,ECE,B,2,2,3,1,91,dissatisfied
?,10567,EEE,A,1,2,4,4,98,dissatisfied
Lvrdsece_Xpbif,10568,CIVIL,A,2,5,1,3,58,dissatisfied
Fukgbkl_Ohxeaiod,10569,ECE,B,2,1,1,4,87,dissatisfied
Cxpkdnba_Kgdjo,10570,CSE,C,2,5,4,2,50,satisfied
?,10571,MECH,C,1,3,3,1,98,dissatisfied
Fttsmb_Fafahy,10572,MECH,C,4,?,1,2,50,dissatisfied
Kkwwngbk_Iimbnpwz,10573,?,A,5,4,5,5,98,highly_satisfied
Sfgzpx_Xtjzwven,10574,CIVIL,A,1,4,2,1,74,dissatisfied
Swsxii_Lyurz,10575,MECH,A,2,3,3,1,67,dissatisfied
Wkxhrcc_Xlnnrp,10576,CSE,A,3,5,5,3,63,satisfied
Hgsjjxhu_Jtgriml,10577,EEE,A,5,3,?,5,98,highly_satisfied
Qlwuy_Gpttrsny,10578,MECH,A,4,?,1,3,87,satisfied
Zqgqeg_Txvno,10579,CIVIL,A,5,1,5,2,89,satisfied
Nkrwbl_Zgeutuy,10061,MECH,?,4,5,5,5,?,highly_satisfied
Gbwauc_Vmzqxem,10075,CSE,B,3,2,3,3,57,dissatisfied
Vkhcgn_Miwxbzeh,10060,MECH,B,2,?,4,3,73,satisfied
Hgsjjxhu_Jtgriml,10577,EEE,A,5,3,?,5,98,highly_satisfied
Cgapza_Unxhkk,10073,CSE,A,4,3,1,3,?,dissatisfied
Loqaaj_Xsyhevsb,10487,CSE,C,5,4,1,2,81,satisfied
Gcigwca_Vkfexg,10324,CSE,A,3,1,5,3,82,satisfied
Tqiwykw_Gecftqyo,10461,MECH,C,5,3,4,5,89,highly_satisfied
Atloro_Goiuff,10489,CSE,A,2,3,3,3,51,dissatisfied
Vhuueb_Nsdxosv,10135,ECE,C,3,2,5,?,51,satisfied
Ykyxbsp_Egdpdibp,10077,EEE,C,3,1,5,2,?,dissatisfied
Srjccoqq_Tvzqsz,10526,EEE,B,2,1,1,?,86,?
Wnkqo_Zzdtmc,10008,CIVIL,B,1,1,4,4,57,?
Wzawu_Wamhygk,10301,ECE,B,?,2,4,1,72,satisfied
Rxchqgpq_Ztxthce,10087,CIVIL,A,5,3,2,5,66,satisfied
Mvtsspr_Teqyzq,10482,ECE,A,1,3,5,2,71,dissatisfied
Trqndy_Lbynk,10544,?,A,2,3,1,?,62,dissatisfied
Bnaceh_Vdqgp,10115,CIVIL,B,1,5,5,4,98,satisfied
Ovpma_Jmjvwgh,10518,CIVIL,B,3,1,5,3,78,satisfied
Xaztc_Oiljbecs,10366,MECH,A,5,4,2,2,61,satisfied
